world_num,timestamp,player,advancement,minutes_into_run,source_log
3,2026-05-05T21:53:06,MurzichAI,Stone Age,1.7,2026-05-05-6.log.gz
3,2026-05-05T21:54:34,axantroff,Stone Age,3.1,2026-05-05-6.log.gz
3,2026-05-05T21:54:36,trofimova2002,Stone Age,3.2,2026-05-05-6.log.gz
3,2026-05-05T21:55:10,axantroff,Getting an Upgrade,3.7,2026-05-05-6.log.gz
3,2026-05-05T21:55:14,trofimova2002,Getting an Upgrade,3.8,2026-05-05-6.log.gz
3,2026-05-05T22:02:41,MurzichAI,Sweet Dreams,11.2,2026-05-05-6.log.gz
3,2026-05-05T22:02:41,trofimova2002,Sweet Dreams,11.2,2026-05-05-6.log.gz
3,2026-05-05T22:02:48,axantroff,Sweet Dreams,11.4,2026-05-05-6.log.gz
3,2026-05-05T22:05:41,MurzichAI,Getting an Upgrade,14.2,2026-05-05-6.log.gz
3,2026-05-05T22:17:07,MurzichAI,Monster Hunter,25.7,2026-05-05-6.log.gz
3,2026-05-05T22:17:10,trofimova2002,Monster Hunter,25.7,2026-05-05-6.log.gz
3,2026-05-05T22:18:27,axantroff,Monster Hunter,27.0,2026-05-05-6.log.gz
3,2026-05-05T22:26:04,MurzichAI,Fishy Business,34.6,2026-05-05-6.log.gz
3,2026-05-05T22:33:31,MurzichAI,Acquire Hardware,42.1,2026-05-05-6.log.gz
3,2026-05-05T22:53:00,axantroff,Fishy Business,61.6,2026-05-05-6.log.gz
3,2026-05-05T22:53:18,MurzichAI,Suit Up,61.9,2026-05-05-6.log.gz
3,2026-05-05T23:01:53,axantroff,Acquire Hardware,70.5,2026-05-05-6.log.gz
3,2026-05-05T23:03:46,MurzichAI,Isn't It Iron Pick,72.3,2026-05-05-6.log.gz
3,2026-05-05T23:04:16,axantroff,Isn't It Iron Pick,72.8,2026-05-05-6.log.gz
3,2026-05-05T23:07:13,axantroff,"Not Today, Thank You",75.8,2026-05-05-6.log.gz
3,2026-05-05T23:10:19,MurzichAI,Diamonds!,78.9,2026-05-05-6.log.gz
3,2026-05-05T23:11:31,MurzichAI,"Not Today, Thank You",80.1,2026-05-05-6.log.gz
3,2026-05-05T23:15:48,axantroff,Diamonds!,84.4,2026-05-05-6.log.gz
3,2026-05-05T23:28:27,MurzichAI,Hot Stuff,97.0,2026-05-05-6.log.gz
3,2026-05-05T23:29:55,MurzichAI,Ice Bucket Challenge,98.5,2026-05-05-6.log.gz
3,2026-05-05T23:31:25,axantroff,Suit Up,100.0,2026-05-05-6.log.gz
3,2026-05-05T23:31:44,MurzichAI,Take Aim,100.3,2026-05-05-6.log.gz
3,2026-05-05T23:36:58,axantroff,Hot Stuff,105.5,2026-05-05-6.log.gz
3,2026-05-05T23:37:58,axantroff,Ice Bucket Challenge,106.5,2026-05-05-6.log.gz
3,2026-05-05T23:41:08,trofimova2002,Acquire Hardware,109.7,2026-05-05-6.log.gz
3,2026-05-05T23:43:24,trofimova2002,Diamonds!,112.0,2026-05-05-6.log.gz
3,2026-05-05T23:48:39,trofimova2002,A Seedy Place,117.2,2026-05-05-6.log.gz
3,2026-05-05T23:51:27,MurzichAI,What a Deal!,120.0,2026-05-05-6.log.gz
3,2026-05-06T00:00:24,MurzichAI,We Need to Go Deeper,129.0,2026-05-06-1.log.gz
